Rider_Link,Rider,Team,Class,Cost,Selected,Points,Stg,GC,PC,KOM,Spr,Sum,Bky,Ass,Tot
riderprofile.php?rider=20221090,Tadej Pogačar,UAE Team Emirates,All Rounder,26,71.3%,3412,1978,1038,192,104,8,88,0,4,3412
riderprofile.php?rider=20220679,Primož Roglič,Jumbo-Visma,All Rounder,22,32.8%,677,374,107,0,8,0,6,0,182,677
riderprofile.php?rider=20220683,Wout Van Aert,Jumbo-Visma,Sprinter,18,58.1%,2917,1690,191,368,70,176,82,100,240,2917
riderprofile.php?rider=20220689,Jonas Vingegaard,Jumbo-Visma,All Rounder,18,36.7%,3199,1554,1124,22,219,0,98,0,182,3199
riderprofile.php?rider=20220074,Jasper Philipsen,Alpecin-Fenix,Sprinter,14,4.9%,1384,1160,2,172,0,50,0,0,0,1384
riderprofile.php?rider=20220084,Mathieu Van Der Poel,Alpecin-Fenix,Unclassed,14,41.9%,215,128,63,2,0,16,0,0,6,215
riderprofile.php?rider=20220275,Aleksandr Vlasov,BORA - hansgrohe,All Rounder,14,25.8%,1101,542,511,0,0,0,0,20,28,1101
riderprofile.php?rider=20220580,Daniel Felipe Martínez,INEOS Grenadiers,Climber,14,11.9%,607,249,44,0,0,8,20,60,226,607
riderprofile.php?rider=20220592,Geraint Thomas,INEOS Grenadiers,All Rounder,14,22.3%,2025,1003,773,0,5,0,42,0,202,2025
riderprofile.php?rider=20220796,Fabio Jakobsen,Quick-Step Alpha Vinyl Team,Sprinter,14,22.4%,684,480,0,149,0,43,0,0,12,684
riderprofile.php?rider=20220044,Ben O'Connor,AG2R Citroën Team,Climber,12,26.8%,8,0,0,0,0,0,0,0,8,8
riderprofile.php?rider=20220598,Adam Yates,INEOS Grenadiers,Climber,12,11.5%,1107,421,454,0,0,0,6,0,226,1107
riderprofile.php?rider=20220720,Caleb Ewan,Lotto Soudal,Sprinter,12,12.2%,265,245,0,0,0,20,0,0,0,265
riderprofile.php?rider=20220768,Enric Mas,Movistar Team,All Rounder,12,8.6%,560,388,146,0,0,0,4,20,2,560
