Rider_Link,Rider,Team,Class,Points,Cost,Stg,GC,PC,KOM,Spr,Sum,Bky,Ass,Tot
riderprofile.php?rider=20201425,Geraint Thomas,Ineos Grenadiers,All Rounder,260,24,200,40,4,0,0,0,0,16,260
riderprofile.php?rider=20201340,Simon Yates,Mitchelton-Scott,Climber,45,22,28,17,0,0,0,0,0,0,45
riderprofile.php?rider=20201039,Jakob Fuglsang,Astana Pro Team,All Rounder,1197,20,674,493,0,10,0,18,0,2,1197
riderprofile.php?rider=20201438,Steven Kruijswijk,Team Jumbo-Visma,All Rounder,191,20,105,84,0,0,0,0,0,2,191
riderprofile.php?rider=20201500,Vincenzo Nibali,Trek - Segafredo,All Rounder,1116,18,596,506,0,0,0,8,0,6,1116
riderprofile.php?rider=20201056,Aleksandr Vlasov,Astana Pro Team,All Rounder,0,16,0,0,0,0,0,0,0,0,0
riderprofile.php?rider=20201108,Peter Sagan,BORA - hansgrohe,Sprinter,1486,16,1130,0,266,20,30,0,20,20,1486
riderprofile.php?rider=20201047,Miguel Angel López,Astana Pro Team,Climber,0,14,0,0,0,0,0,0,0,0,0
riderprofile.php?rider=20201101,Rafał Majka,BORA - hansgrohe,Climber,1039,14,625,367,0,1,0,2,0,44,1039
riderprofile.php?rider=20201468,Wilco Kelderman,Team Sunweb,All Rounder,2174,14,1141,862,0,28,0,33,0,110,2174
riderprofile.php?rider=20201471,Michael Matthews,Team Sunweb,Sprinter,771,14,700,10,25,0,0,0,0,36,771
riderprofile.php?rider=20201171,João Almeida,Deceuninck - Quick Step,All Rounder,2966,12,1728,918,168,0,10,8,0,134,2966
riderprofile.php?rider=20201232,Arnaud Démare,Groupama - FDJ,Sprinter,1363,12,1000,0,328,0,15,0,20,0,1363
riderprofile.php?rider=20201061,Pello Bilbao,Bahrain - McLaren,Climber,1481,10,716,705,0,0,0,16,0,44,1481
riderprofile.php?rider=20201099,Patrick Konrad,BORA - hansgrohe,All Rounder,1386,10,899,441,8,0,0,0,0,38,1386
riderprofile.php?rider=20201140,Ilnur Zakarin,CCC Team,Climber,377,10,194,136,0,0,5,14,20,8,377
riderprofile.php?rider=20201126,Fausto Masnada,Deceuninck - Quick Step,Climber,946,10,307,381,0,0,0,0,0,258,946
riderprofile.php?rider=20201402,Rohan Dennis,Ineos Grenadiers,All Rounder,1022,10,605,6,0,78,25,46,40,222,1022
riderprofile.php?rider=20201407,Tao Geoghegan Hart,Ineos Grenadiers,All Rounder,2459,10,1214,808,10,136,25,70,0,196,2459
riderprofile.php?rider=20201389,Domenico Pozzovivo,NTT Pro Cycling,Climber,871,10,406,419,0,20,0,10,0,16,871
riderprofile.php?rider=20201485,Giulio Ciccone,Trek - Segafredo,Climber,24,10,0,0,0,0,0,0,20,4,24
riderprofile.php?rider=20201521,Fernando Gaviria,UAE-Team Emirates,Sprinter,247,10,225,0,0,0,0,0,0,22,247
riderprofile.php?rider=20201539,Diego Ulissi,UAE-Team Emirates,All Rounder,651,10,524,11,82,8,0,0,20,6,651
riderprofile.php?rider=20201026,Andrea Vendrame,AG2R La Mondiale,Unclassed,780,8,640,0,43,0,35,2,60,0,780
riderprofile.php?rider=20201052,Óscar Rodríguez,Astana Pro Team,Climber,102,8,80,0,0,0,0,0,20,2,102
riderprofile.php?rider=20201169,Elia Viviani,Cofidis Solutions Crédits,Sprinter,310,8,285,0,0,0,5,0,20,0,310
riderprofile.php?rider=20201175,Davide Ballerini,Deceuninck - Quick Step,Sprinter,734,8,403,0,18,6,25,6,20,256,734
riderprofile.php?rider=20201188,James Knox,Deceuninck - Quick Step,Climber,629,8,163,208,0,0,0,0,0,258,629
riderprofile.php?rider=20201203,Simon Clarke,EF Pro Cycling,Unclassed,454,8,360,0,0,0,10,0,60,24,454
riderprofile.php?rider=20201205,Lawson Craddock,EF Pro Cycling,Unclassed,157,8,80,13,0,0,20,0,20,24,157
riderprofile.php?rider=20201207,Ruben Guerreiro,EF Pro Cycling,Unclassed,841,8,395,0,0,268,15,65,80,18,841
riderprofile.php?rider=20201416,Jhonatan Narváez,Ineos Grenadiers,Unclassed,461,8,322,0,0,0,15,0,20,104,461
riderprofile.php?rider=20201289,Thomas De Gendt,Lotto Soudal,Unclassed,685,8,355,0,2,118,85,41,80,4,685
riderprofile.php?rider=20201297,Carl Fredrik Hagen,Lotto Soudal,Climber,31,8,0,0,0,0,5,0,20,6,31
riderprofile.php?rider=20201324,Jack Haig,Mitchelton-Scott,Climber,16,8,16,0,0,0,0,0,0,0,16
riderprofile.php?rider=20201325,Lucas Hamilton,Mitchelton-Scott,Unclassed,302,8,280,22,0,0,0,0,0,0,302
riderprofile.php?rider=20201448,Antwan Tolhoek,Team Jumbo-Visma,Climber,2,8,0,0,0,0,0,0,0,2,2
riderprofile.php?rider=20201473,Sam Oomen,Team Sunweb,Climber,278,8,53,53,0,0,0,0,0,172,278
riderprofile.php?rider=20201484,Gianluca Brambilla,Trek - Segafredo,Climber,139,8,135,0,0,0,0,0,0,4,139
