Rider_Link,Rider,Team,Class,Cost,Selected,Points,Stg,GC,PC,KOM,Spr,Sum,Bky,Ass,Tot
riderprofile.php?rider=20210518,Egan Bernal,INEOS Grenadiers,All Rounder,24,25.5%,2964,1375,1077,49,204,10,65,0,184,2964
riderprofile.php?rider=20210769,Simon Yates,Team BikeExchange,Climber,22,48.5%,1576,779,696,0,48,0,21,0,32,1576
riderprofile.php?rider=20210335,Remco Evenepoel,Deceuninck - Quick Step,All Rounder,18,37.9%,743,443,268,0,0,20,4,0,8,743
riderprofile.php?rider=20210114,Aleksandr Vlasov,Astana - Premier Tech,Climber,16,17.9%,1544,789,723,0,0,0,12,0,20,1544
riderprofile.php?rider=20210228,Emanuel Buchmann,BORA - hansgrohe,All Rounder,16,14.4%,245,145,88,0,0,0,0,0,12,245
riderprofile.php?rider=20210243,Peter Sagan,BORA - hansgrohe,Sprinter,16,29.5%,1113,830,0,283,0,0,0,0,0,1113
riderprofile.php?rider=20210323,João Almeida,Deceuninck - Quick Step,All Rounder,16,38.4%,1521,1002,401,0,32,10,30,20,26,1521
riderprofile.php?rider=20210153,Mikel Landa,Bahrain - Victorious,Climber,14,23.3%,52,30,6,0,0,0,0,0,16,52
riderprofile.php?rider=20210384,Hugh Carthy,EF Education - Nippo,Climber,14,33.1%,929,427,482,0,0,0,10,0,10,929
riderprofile.php?rider=20210540,Pavel Sivakov,INEOS Grenadiers,All Rounder,14,15.8%,32,0,0,0,0,0,0,0,32,32
riderprofile.php?rider=20210613,Caleb Ewan,Lotto Soudal,Sprinter,14,35.2%,520,500,0,20,0,0,0,0,0,520
riderprofile.php?rider=20210042,Tim Merlier,Alpecin-Fenix,Sprinter,12,12.9%,510,420,0,84,0,0,0,0,6,510
riderprofile.php?rider=20210142,Pello Bilbao,Bahrain - Victorious,All Rounder,12,22.0%,351,86,171,0,0,0,6,0,88,351
riderprofile.php?rider=20210531,Daniel Felipe Martínez,INEOS Grenadiers,Climber,12,4.4%,1475,665,492,0,0,0,8,0,310,1475
riderprofile.php?rider=20210802,Jai Hindley,Team DSM,Climber,12,13.9%,10,0,0,0,0,0,0,0,10,10
riderprofile.php?rider=20210879,Giacomo Nizzolo,Team Qhubeka ASSOS,Sprinter,12,8.3%,715,620,0,87,0,0,0,0,8,715
riderprofile.php?rider=20210936,Vincenzo Nibali,Trek - Segafredo,All Rounder,12,9.5%,276,53,138,0,0,15,10,20,40,276
riderprofile.php?rider=20210320,Elia Viviani,Cofidis,Sprinter,10,4.4%,793,625,0,156,0,0,0,0,12,793
riderprofile.php?rider=20210343,Fausto Masnada,Deceuninck - Quick Step,Climber,10,7.3%,26,0,0,0,0,0,0,0,26,26
riderprofile.php?rider=20210596,Dan Martin,Israel Start-Up Nation,Climber,10,15.8%,1191,708,316,0,86,0,31,20,30,1191
riderprofile.php?rider=20210659,Marc Soler,Movistar Team,All Rounder,10,25.6%,270,216,52,0,0,0,0,0,2,270
riderprofile.php?rider=20210790,Romain Bardet,Team DSM,Climber,10,11.6%,1100,584,404,0,10,10,34,0,58,1100
riderprofile.php?rider=20210820,George Bennett,Team Jumbo-Visma,Climber,10,16.9%,754,410,204,0,0,0,0,60,80,754
riderprofile.php?rider=20210827,Dylan Groenewegen,Team Jumbo-Visma,Sprinter,10,12.9%,411,375,0,4,0,0,0,0,32,411
riderprofile.php?rider=20210931,Bauke Mollema,Trek - Segafredo,All Rounder,10,9.6%,430,215,15,0,68,10,2,80,40,430
riderprofile.php?rider=20210957,Fernando Gaviria,UAE-Team Emirates,Sprinter,10,5.5%,923,695,0,156,0,30,0,20,22,923
riderprofile.php?rider=20210028,Andrea Vendrame,AG2R Citroën Team ,Sprinter,8,1.0%,471,411,0,0,0,0,0,60,0,471
