Rider_Link,Rider,Team,Class,Points,Cost,Stg,GC,PC,KOM,Spr,Sum,Bky,Ass,Tot
riderprofile.php?rider=20201445,Primož Roglič,Team Jumbo-Visma,All Rounder,3733,26,2075,1104,336,57,0,37,0,124,3733
riderprofile.php?rider=20201430,Tom Dumoulin,Team Jumbo-Visma,All Rounder,125,22,20,5,0,0,0,0,0,100,125
riderprofile.php?rider=20201400,Richard Carapaz,Ineos Grenadiers,Climber,2877,20,1405,972,236,212,0,52,0,0,2877
riderprofile.php?rider=20201247,Thibaut Pinot,Groupama - FDJ,All Rounder,0,18,0,0,0,0,0,0,0,0,0
riderprofile.php?rider=20201353,Enric Mas,Movistar Team,All Rounder,1657,18,825,593,22,7,0,30,0,180,1657
riderprofile.php?rider=20201056,Aleksandr Vlasov,Astana Pro Team,Climber,1078,16,728,255,0,0,0,31,0,64,1078
riderprofile.php?rider=20201405,Chris Froome,Ineos Grenadiers,All Rounder,90,16,0,0,0,0,0,0,0,90,90
riderprofile.php?rider=20201367,Alejandro Valverde,Movistar Team,All Rounder,1249,16,673,372,1,0,5,18,0,180,1249
riderprofile.php?rider=20201439,Sepp Kuss,Team Jumbo-Visma,Climber,1227,16,539,211,0,146,0,43,20,268,1227
riderprofile.php?rider=20201235,David Gaudu,Groupama - FDJ,Climber,1110,14,644,317,0,68,10,51,20,0,1110
riderprofile.php?rider=20201422,Iván Ramiro Sosa,Ineos Grenadiers,Climber,110,14,20,0,0,0,0,0,0,90,110
riderprofile.php?rider=20201157,Guillaume Martin,Cofidis Solutions Crédits,Climber,1601,12,855,172,78,269,30,97,100,0,1601
riderprofile.php?rider=20201176,Sam Bennett,Deceuninck - Quick Step,Sprinter,457,12,450,0,1,0,0,0,0,6,457
riderprofile.php?rider=20201215,Daniel Felipe Martínez,EF Pro Cycling,All Rounder,0,12,0,0,0,0,0,0,0,0,0
riderprofile.php?rider=20201319,Esteban Chaves,Mitchelton-Scott,Climber,530,12,335,175,6,0,0,2,0,12,530
riderprofile.php?rider=20201365,Marc Soler,Movistar Team,All Rounder,1226,12,751,218,26,0,15,26,20,170,1226
riderprofile.php?rider=20201045,Ion Izagirre,Astana Pro Team,All Rounder,553,10,429,10,0,1,0,35,20,58,553
riderprofile.php?rider=20201080,Wout Poels,Bahrain - McLaren,All Rounder,1056,10,611,441,0,0,0,4,0,0,1056
riderprofile.php?rider=20201087,Pascal Ackermann,BORA - hansgrohe,Sprinter,885,10,850,0,31,0,0,0,0,4,885
riderprofile.php?rider=20201227,Michael Woods,EF Pro Cycling,Climber,865,10,728,0,20,16,0,25,40,36,865
riderprofile.php?rider=20201427,George Bennett,Team Jumbo-Visma,Climber,934,10,346,320,0,0,0,0,0,268,934
riderprofile.php?rider=20201518,David De La Cruz,UAE-Team Emirates,All Rounder,880,10,400,394,0,0,15,19,0,52,880
