Rider_Link,Rider,Team,Class,Cost,Selected,Points,Stg,GC,PC,KOM,Spr,Sum,Bky,Ass,Tot
riderprofile.php?rider=20220679,Primož Roglič,Jumbo-Visma,All Rounder,26,42.8%,1549,1091,348,36,8,0,18,0,48,1549
riderprofile.php?rider=20220794,Remco Evenepoel,Quick-Step Alpha Vinyl Team,All Rounder,22,43.3%,2659,1325,1121,117,49,6,37,0,4,2659
riderprofile.php?rider=20220259,Jai Hindley,BORA - hansgrohe,Climber,18,31.8%,941,576,327,0,0,0,8,0,30,941
riderprofile.php?rider=20220570,Richard Carapaz,INEOS Grenadiers,All Rounder,18,39.0%,1436,748,218,15,200,36,81,20,118,1436
riderprofile.php?rider=20221068,João Almeida,UAE Team Emirates,All Rounder,16,40.4%,1248,502,534,0,0,0,4,0,208,1248
riderprofile.php?rider=20220768,Enric Mas,Movistar Team,All Rounder,14,9.7%,2415,1217,894,94,111,20,45,0,34,2415
riderprofile.php?rider=20220952,Simon Yates,Team BikeExchange - Jayco,Climber,14,35.3%,437,343,92,0,0,0,0,0,2,437
riderprofile.php?rider=20220071,Tim Merlier,Alpecin-Fenix,Sprinter,12,23.5%,464,430,0,16,0,0,0,0,18,464
riderprofile.php?rider=20220103,Miguel Ángel López,Astana Qazaqstan Team,Climber,12,12.5%,1357,717,567,0,15,0,32,0,26,1357
riderprofile.php?rider=20220258,Sergio Higuita,BORA - hansgrohe,Climber,12,16.4%,245,94,55,0,20,16,30,0,30,245
riderprofile.php?rider=20220587,Carlos Rodriguez,INEOS Grenadiers,Climber,12,6.9%,1339,661,528,0,0,6,2,0,142,1339
riderprofile.php?rider=20220590,Pavel Sivakov,INEOS Grenadiers,All Rounder,12,9.2%,537,390,117,0,0,0,0,0,30,537
riderprofile.php?rider=20220784,Julian Alaphilippe,Quick-Step Alpha Vinyl Team,Climber,12,28.8%,101,30,14,0,1,8,0,0,48,101
riderprofile.php?rider=20221057,Mads Pedersen,Trek - Segafredo,Sprinter,12,20.0%,2090,1575,15,336,0,124,0,40,0,2090
riderprofile.php?rider=20220044,Ben O'Connor,AG2R Citroën Team,Climber,10,16.4%,889,510,373,0,0,0,6,0,0,889
riderprofile.php?rider=20220104,Alexey Lutsenko,Astana Qazaqstan Team,All Rounder,10,1.5%,116,0,0,0,0,24,0,60,32,116
riderprofile.php?rider=20220173,Mikel Landa,Bahrain - Victorious,Climber,10,11.3%,243,44,123,0,0,0,0,20,56,243
riderprofile.php?rider=20220252,Sam Bennett,BORA - hansgrohe,Sprinter,10,18.8%,674,560,0,88,0,22,0,0,4,674
riderprofile.php?rider=20220261,Wilco Kelderman,BORA - hansgrohe,All Rounder,10,5.4%,582,375,171,0,0,0,10,0,26,582
riderprofile.php?rider=20220380,Hugh Carthy,EF Education-EasyPost,Climber,10,10.3%,139,53,62,0,0,6,6,0,12,139
riderprofile.php?rider=20220400,Rigoberto Urán,EF Education-EasyPost,All Rounder,10,1.1%,691,375,276,0,0,16,0,20,4,691
riderprofile.php?rider=20220577,Ethan Hayter,INEOS Grenadiers,Unclassed,10,41.1%,295,210,49,0,0,8,0,0,28,295
riderprofile.php?rider=20220658,Michael Woods,Israel - Premier Tech,Climber,10,3.8%,0,0,0,0,0,0,0,0,0,0
riderprofile.php?rider=20220675,Sepp Kuss,Jumbo-Visma,Climber,10,15.0%,251,98,89,0,0,0,0,0,64,251
riderprofile.php?rider=20220782,Alejandro Valverde,Movistar Team,All Rounder,10,6.9%,421,119,210,0,0,0,2,0,90,421
riderprofile.php?rider=20221067,Pascal Ackermann,UAE Team Emirates,Sprinter,10,9.4%,973,735,0,38,0,0,0,0,200,973
riderprofile.php?rider=20221070,Juan Ayuso,UAE Team Emirates,All Rounder,10,10.1%,1683,783,696,0,0,0,8,0,196,1683
riderprofile.php?rider=20221085,Brandon McNulty,UAE Team Emirates,All Rounder,10,3.4%,268,20,8,0,0,12,0,20,208,268
riderprofile.php?rider=20220040,Bob Jungels,AG2R Citroën Team,All Rounder,8,2.2%,100,80,0,0,0,0,0,20,0,100
riderprofile.php?rider=20220095,David De La Cruz,Astana Qazaqstan Team,All Rounder,8,0.7%,183,49,102,0,0,0,0,0,32,183
riderprofile.php?rider=20220109,Vincenzo Nibali,Astana Qazaqstan Team,Climber,8,2.2%,32,0,0,0,0,0,0,0,32,32
riderprofile.php?rider=20220166,Santiago Buitrago,Bahrain - Victorious,Climber,8,7.9%,28,0,0,0,0,0,0,0,28,28
riderprofile.php?rider=20220176,Gino Mäder,Bahrain - Victorious,Climber,8,3.6%,321,146,87,0,0,8,4,20,56,321
riderprofile.php?rider=20220182,Wout Poels,Bahrain - Victorious,Climber,8,1.9%,22,0,0,0,0,0,0,0,22,22
riderprofile.php?rider=20220184,Luis León Sánchez,Bahrain - Victorious,Unclassed,8,6.5%,205,16,117,0,0,0,0,20,52,205
riderprofile.php?rider=20220274,Danny Van Poppel,BORA - hansgrohe,Sprinter,8,3.7%,763,685,0,34,0,20,0,0,24,763
riderprofile.php?rider=20220328,Bryan Coquard,Cofidis,Sprinter,8,4.6%,420,412,0,0,0,0,0,0,8,420
riderprofile.php?rider=20220381,Esteban Chaves,EF Education-EasyPost,Climber,8,4.3%,8,4,0,0,0,0,0,0,4,8
riderprofile.php?rider=20220540,Thibaut Pinot,Groupama - FDJ,Climber,8,5.3%,460,297,92,0,17,0,6,20,28,460
riderprofile.php?rider=20220576,Tao Geoghegan Hart,INEOS Grenadiers,All Rounder,8,5.8%,734,350,242,0,0,0,0,0,142,734
riderprofile.php?rider=20220583,Luke Plapp,INEOS Grenadiers,Unclassed,8,6.8%,208,40,20,0,0,6,0,0,142,208
riderprofile.php?rider=20220609,Jan Hirt,Intermarché - Wanty - Gobert Matériaux,Climber,8,3.3%,0,0,0,0,0,0,0,0,0,0
riderprofile.php?rider=20220613,Louis Meintjes,Intermarché - Wanty - Gobert Matériaux,Climber,8,3.5%,768,455,250,0,0,20,21,20,2,768
riderprofile.php?rider=20221277,Domenico Pozzovivo,Intermarché - Wanty - Gobert Matériaux,Climber,8,1.1%,23,12,1,0,0,0,0,0,10,23
riderprofile.php?rider=20220623,Gerben Thijssen,Intermarché - Wanty - Gobert Matériaux,Sprinter,8,2.8%,35,25,0,0,0,0,0,0,10,35
riderprofile.php?rider=20220665,Rohan Dennis,Jumbo-Visma,Unclassed,8,18.4%,162,58,0,0,0,6,0,0,98,162
riderprofile.php?rider=20220800,Fausto Masnada,Quick-Step Alpha Vinyl Team,Unclassed,8,6.1%,294,80,8,0,0,24,6,40,136,294
riderprofile.php?rider=20220811,Ilan Van Wilder,Quick-Step Alpha Vinyl Team,Climber,8,0.9%,178,30,12,0,0,0,0,0,136,178
riderprofile.php?rider=20220933,Kaden Groves,Team BikeExchange - Jayco,Sprinter,8,16.3%,627,590,5,10,0,0,0,20,2,627
riderprofile.php?rider=20220934,Lucas Hamilton,Team BikeExchange - Jayco,Climber,8,0.4%,94,37,19,0,0,8,0,20,10,94
riderprofile.php?rider=20220953,Thymen Arensman,Team DSM,All Rounder,8,12.8%,1233,661,436,0,98,0,36,0,2,1233
riderprofile.php?rider=20221087,Juan Sebastián Molano,UAE Team Emirates,Sprinter,8,1.0%,585,380,0,5,0,0,0,0,200,585
riderprofile.php?rider=20221093,Marc Soler,UAE Team Emirates,All Rounder,8,1.2%,1300,755,20,129,82,44,16,60,194,1300
riderprofile.php?rider=20220032,Clément Champoussin,AG2R Citroën Team,Climber,6,0.9%,178,130,0,0,0,8,0,40,0,178
riderprofile.php?rider=20220047,Nans Peters,AG2R Citroën Team,Unclassed,6,1.6%,0,0,0,0,0,0,0,0,0,0
riderprofile.php?rider=20220055,Andrea Vendrame,AG2R Citroën Team,Sprinter,6,1.9%,0,0,0,0,0,0,0,0,0,0
riderprofile.php?rider=20220072,Xandro Meurisse,Alpecin-Fenix,Unclassed,6,0.3%,112,60,0,0,0,0,10,20,22,112
riderprofile.php?rider=20220079,Robert Stannard,Alpecin-Fenix,Unclassed,6,1.1%,286,0,0,0,182,12,30,40,22,286
riderprofile.php?rider=20220080,Lionel Taminiaux,Alpecin-Fenix,Sprinter,6,0.4%,172,138,0,0,0,12,0,0,22,172
riderprofile.php?rider=20220086,Gianni Vermeersch,Alpecin-Fenix,Unclassed,6,0.5%,236,210,0,0,0,6,0,0,20,236
riderprofile.php?rider=20220088,Jay Vine,Alpecin-Fenix,Climber,6,4.3%,895,675,0,0,136,0,60,20,4,895
riderprofile.php?rider=20220090,Samuele Battistella,Astana Qazaqstan Team,Unclassed,6,1.2%,635,505,0,26,0,38,12,40,14,635
riderprofile.php?rider=20220114,Harold Tejada,Astana Qazaqstan Team,Unclassed,6,0.3%,44,12,0,0,0,0,0,0,32,44
